id	control2		Sailfish	Salmon	STAR
AT5G02250	7.52		8.68139	7.914487	2.038257
AT5G02260	20.07		23.651	22.357257	35.340448
AT5G02270	7.61		10.16373	9.249429	5.762334
AT5G02280	16.13		26.7871	26.445672	32.583173
AT5G02290	19.92		24.8108	22.789066	34.270302
AT5G02310	11.62		13.200402	11.789018	10.987952
AT5G02320	2.79		4.03525	3.714088	3.545381
AT5G02330	0.09		0.185524	0.169416	18.028109
AT5G02340	0		0	0	26.912407
AT5G02350	0.35		0.491378	0.457588	25.946719
AT5G02360	0		0.321624	0.308701	22.324805
AT5G02370	4.36		6.34281	5.873818	0
AT5G02380	380.63		5719.06	5942.655841	10.358313
AT5G02390	0		0	0	6.382605
AT5G02400	0.68		0.969155	0.894817	0
AT5G02410	9.25		9.60595	8.942394	0
AT5G02420	4.17		5.26885	5.165748	7.769456
AT5G02430	0.76		0.779765	0.716887	26.012978
AT5G02440	20.57		32.3039	31.510134	30.381074
AT5G02450	197.98		248.535	243.089589	87.21779
AT5G02460	2.65		3.59302	3.071671	0
AT5G02470	8.33		11.42397	10.703271	0
AT5G02480	85.99		95.0576	87.53528	0.164387
AT5G02490	8.33		9.24486	8.508183	0
AT5G02500	755.52		878.227	783.808294	87.164889
AT5G02502	17.83		34.2871	34.745934	0.055248
AT5G02510	0		0	0	114.851829
AT5G02520	2.38		2.82438	2.473014	0
AT5G02530	62.09		81.662996	76.272721	1.868822
