Sailfish	Salmon	STAR-HTSeq
AT4G13885             0.573103             0.150243             1.277430
AT4G15150             12.462100             0.311325             16.060404
AT4G16410             121.646000             133.620598             1.813685
AT4G16670             12.545540             3.652018             0.152310
AT4G17100             34.612000             34.368085             3.003335
AT4G18220             3.578210             4.351119             0.398734
AT4G20690             47.989700             21.901844             1.489218
AT4G22470             21.576800             24.229427             0.387179
AT4G22485             12.069900             21.472620             0.061070
AT4G24910             1.467070             0.209473             1.689563
AT4G26288             45.889900             57.977885             0.624326
AT4G26790             4.386410             0.932980             0.282304
AT4G30660             238.732500             246.611469             9.862823
AT4G32208             16.392600             3.697201             0.423548
AT4G32210             121.065000             127.020191             12.569398
AT4G33467             5.199343             5.453916             0.228866
AT4G33666             61.629600             64.065236             0.374452
AT4G34881             247.816000             258.654092             10.017437
AT4G35295             4.706950             0.596697             8.688919
AT4G36791             2.272670             1.689608             13.527067
AT4G37410             47.037300             48.653891             2.415865
AT4G38210             9.767170             8.905295             0.459031
AT4G38540             58.230500             53.141712             2.430890
AT5G07610             5.053200             0.084007             6.102436
AT5G10100             14.784554             1.181496             1.597602
AT5G10430             77.795500             79.805365             1.675611
AT5G11970             21.043900             38.364738             0.974924
AT5G14510             5.462750             5.889933             0.195337
AT5G16230             5.948240             5.833393             0.641788
AT5G16770             1.033311             1.279203             0.073667
AT5G18260             24.064100             6.481623             1.145615
AT5G18470             14.759100             14.296038             0.576496
AT5G21910             3.843690             0.301482             0.486914
AT5G24215             6.549850             0.483724             11.682467
AT5G27400             33.355500             34.698577             1.402980
AT5G27660             15.091500             14.999230             1.864694
AT5G28380             1.128280             0.091735             0.333316
AT5G28460             4.030190             4.018572             0.043848
AT5G35926             2.989841             0.051304             1.178289
AT5G36740             0.522511             0.546635             0.027494
AT5G36790             32.581760             46.677594             0.741453
AT5G37247             2.144940             0.445647             4.485659
AT5G41610             3.859090             2.056931             0.080136
AT5G41685             91.776200             96.230294             10.073348
AT5G42090             41.841800             43.330484             1.787567
AT5G42760             1.772890             0.168804             1.532812
AT5G42820             70.917200             72.827241             1.751409
AT5G49440             111.028000             1.469807             138.846905
AT5G50530             9.005230             8.945356             0.057379
AT5G52100             28.597500             29.552014             3.369379
AT5G52170             1.208581             13.889985             0.297527
AT5G53810             1.180770             0.065066             1.495356
AT5G54570             3.099407             0.239895             0.096795
AT5G55450             48.001200             48.341918             0.159847
AT5G55490             0.713462             0.101162             1.283925
AT5G57760             32.141300             32.535521             1.222786
AT5G57887             160.794000             166.974221             4.263076
AT5G58570             46.536900             47.749518             4.669241
AT5G60630             3.237260             3.363432             0.194634
AT5G61900             9.505440             9.757545             0.057808
AT5G64570             157.664810             161.796275             19.548070
AT5G64816             19.135830             19.618557             0.936500
AT5G67490             166.413000             170.942061             0.180061
ATCG00050             16.765900             2.412219             39.591415
ATCG00640             177.093000             10.865598             4058.120027
ATCG00840             185.519000             297.952401             2.607627
ATCG00860             1.801860             3.058478             0.048557
ATCG00900             649.206000             1187.599612             15.287094
ATCG00905             3277.520000             3072.043506             78.869677
ATCG01310             527.703000             972.696625             2.938788
ATMG00030             1025.820000             1.282456             1430.189714
ATMG00280             0.601676             1.049252             6.460689
ATMG00520             3.102040             2.951668             0.118919
ATMG00580             5.699490             5.065638             0.083954
ATMG00830             7.630840             5.830621             0.341736
ATMG01080             3.940960             2.468921             0.354808
ATMG01190             26.535500             21.539036             0.326691
ATMG01200             8.124130             3.653292             0.788750
